   0.0000000e+00   0.0000000e+00   5.0000000e-01
   1.4070000e-01   1.5475000e-01   7.2415000e-01
   2.8140000e-01   3.0950000e-01   9.4830000e-01
   4.0116667e-01   4.2458333e-01   7.9025000e-01
   5.2093333e-01   5.3966667e-01   6.3220000e-01
   6.4070000e-01   6.5475000e-01   4.7415000e-01
   7.6046667e-01   7.6983333e-01   3.1610000e-01
   8.8023333e-01   8.8491667e-01   1.5805000e-01
   1.0000000e+00   1.0000000e+00   0.0000000e+00
   1.0000000e+00   8.5714286e-01   0.0000000e+00
   1.0000000e+00   7.1428571e-01   0.0000000e+00
   1.0000000e+00   5.7142857e-01   0.0000000e+00
   1.0000000e+00   4.2857143e-01   0.0000000e+00
   1.0000000e+00   2.8571429e-01   0.0000000e+00
   1.0000000e+00   1.4285714e-01   0.0000000e+00
   1.0000000e+00   0.0000000e+00   0.0000000e+00
